Designator,Mid X,Mid Y,Rotation,Layer
C1,163.25,-79.125,0.0,top
C10,164.75,-79.25,270.0,top
C11,160.2,-66.3,90.0,top
C12,163.45,-68.2,90.0,top
C13,162.82,-53.0,0.0,top
C14,162.5,-58.0,180.0,top
C15,157.75,-81.375,270.0,top
C16,163.25,-81.375,90.0,top
C17,160.1,-58.9,270.0,top
C2,165.55,-68.2,90.0,top
C3,164.45,-68.2,90.0,top
C4,165.4,-69.8,0.0,top
C5,166.110589,-74.410589,315.0,top
C6,155.3,-67.45,90.0,top
C7,156.45,-67.47,90.0,top
C8,155.85,-65.9,180.0,top
C9,154.7,-74.6,180.0,top
D1,155.9,-87.7,270.0,top
D2,162.1,-87.7,270.0,top
J1,160.0,-47.0,180.0,top
J2,151.11,-70.0,0.0,bottom
J3,168.89,-70.0,0.0,bottom
J4,160.0,-93.89,270.0,bottom
J5,154.1,-93.9,0.0,top
R1,161.0,-53.5,270.0,top
R2,157.5,-53.0,180.0,top
R3,161.425,-67.99,90.0,top
R4,162.375,-67.99,270.0,top
R5,160.65,-79.125,180.0,top
R6,159.0,-58.0,270.0,top
R7,159.0,-56.0,270.0,top
SW1,156.5,-56.5,90.0,top
U1,160.7,-73.3,90.0,top
U2,162.5,-55.5,270.0,top
U4,157.325,-60.75,0.0,top
Y1,160.5,-81.375,180.0,top
